Security,Symbol,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added,CIK,Founded
3M Company,MMM,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota","",66740,1902
Abbott Laboratories,ABT,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1800,1888
AbbVie Inc.,ABBV,reports,Health Care,Pharmaceuticals,"North Chicago, Illinois",2012-12-31,1551152,2013 (1888)
ABIOMED Inc,ABMD,reports,Health Care,Health Care Equipment,"Danvers, Massachusetts",2018-05-31,815094,1981
Accenture plc,ACN,reports,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,1467373,1989
Activision Blizzard,ATVI,reports,Communication Services,Interactive Home Entertainment,"Santa Monica, California",2015-08-31,718877,2008
Adobe Systems Inc,ADBE,reports,Information Technology,Application Software,"San Jose, California",1997-05-05,796343,1982
Advanced Micro Devices Inc,AMD,reports,Information Technology,Semiconductors,"Sunnyvale, California",2017-03-20,2488,1969
Advance Auto Parts,AAP,reports,Consumer Discretionary,Automotive Retail,"Roanoke, Virginia",2015-07-09,1158449,1932
AES Corp,AES,reports,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,874761,1981
Affiliated Managers Group Inc,AMG,reports,Financials,Asset Management & Custody Banks,"Beverly, Massachusetts",2014-07-01,1004434,1993
AFLAC Inc,AFL,reports,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28,4977,1955
Agilent Technologies Inc,A,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872,1999
Air Products & Chemicals Inc,APD,reports,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30,2969,1940
Akamai Technologies Inc,AKAM,reports,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12,1086222,1998
Alaska Air Group Inc,ALK,reports,Industrials,Airlines,"Seattle, Washington",2016-05-13,766421,1985
Albemarle Corp,ALB,reports,Materials,Specialty Chemicals,"Baton Rouge, Louisiana",2016-07-01,915913,1994
Alexandria Real Estate Equities,ARE,reports,Real Estate,Office REITs,"Pasadena, California",2017-03-20,1035443,1994
Alexion Pharmaceuticals,ALXN,reports,Health Care,Biotechnology,"Cheshire, Connecticut",2012-05-25,899866,1992
Align Technology,ALGN,reports,Health Care,Health Care Supplies,"San Jose, California",2017-06-19,1097149,1997
Allegion,ALLE,reports,Industrials,Building Products,"Dublin, Ireland",2013-12-02,1579241,1908
"Allergan, Plc",AGN,reports,Health Care,Pharmaceuticals,"Dublin, Ireland",1999-04-12,1578845,1983
Alliance Data Systems,ADS,reports,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",2013-12-23,1101215,1996
Alliant Energy Corp,LNT,reports,Utilities,Electric Utilities,"Madison, Wisconsin",2016-07-01,352541,1917
Allstate Corp,ALL,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",1995-07-13,899051,1931
Alphabet Inc Class A,GOOGL,reports,Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03,1652044,1998
Alphabet Inc Class C,GOOG,reports,Communication Services,Interactive Media & Services,"Mountain View, California",2006-04-03,1652044,1998
Altria Group Inc,MO,reports,Consumer Staples,Tobacco,"Richmond, Virginia","",764180,1985
Amazon.com Inc.,AMZN,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",2005-11-18,1018724,1994
Ameren Corp,AEE,reports,Utilities,Multi-Utilities,"St. Louis, Missouri",1991-09-19,1002910,1902
American Airlines Group,AAL,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,6201,1934
American Electric Power,AEP,reports,Utilities,Electric Utilities,"Columbus, Ohio","",4904,1906
American Express Co,AXP,reports,Financials,Consumer Finance,"New York, New York",1976-06-30,4962,1850
American International Group,AIG,reports,Financials,Property & Casualty Insurance,"New York, New York",1980-03-31,5272,1919
American Tower Corp.,AMT,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
American Water Works Company Inc,AWK,reports,Utilities,Water Utilities,"Voorhees, New Jersey",2016-03-04,1410636,1886
Ameriprise Financial,AMP,reports,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",2005-10-03,820027,1894
AmerisourceBergen Corp,ABC,reports,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",2001-08-30,1140859,1985
AMETEK Inc.,AME,reports,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",2013-09-23,1037868,1930
Amgen Inc.,AMGN,reports,Health Care,Biotechnology,"Thousand Oaks, California",1992-01-02,318154,1980
Amphenol Corp,APH,reports,Information Technology,Electronic Components,"Wallingford, Connecticut",2008-09-30,820313,1932
Anadarko Petroleum Corp,APC,reports,Energy,Oil & Gas Exploration & Production,"The Woodlands, Texas",1997-07-28,773910,1959
"Analog Devices, Inc.",ADI,reports,Information Technology,Semiconductors,"Norwood, Massachusetts",1999-10-12,6281,1965
ANSYS,ANSS,reports,Information Technology,Application Software,"Canonsburg, Pennsylvania",2017-06-19,1013462,1969
Anthem Inc.,ANTM,reports,Health Care,Managed Health Care,"Indianapolis, Indiana",2002-07-25,1156039,2014 (1940s)
Aon plc,AON,reports,Financials,Insurance Brokers,"London, United Kingdom",1996-04-23,315293,1982 (1919)
A.O. Smith Corp,AOS,reports,Industrials,Building Products,"Milwaukee, Wisconsin",2017-07-26,91142,1916
Apache Corporation,APA,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1997-07-28,6769,1954
Apartment Investment & Management,AIV,reports,Real Estate,Residential REITs,"Denver, Colorado",2003-03-14,922864,1994 (1975)
Apple Inc.,AAPL,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30,320193,1977
Applied Materials Inc.,AMAT,reports,Information Technology,Semiconductor Equipment,"Santa Clara, California",1995-03-16,6951,1967
Aptiv Plc,APTV,reports,Consumer Discretionary,Auto Parts & Equipment,"Gillingham, Kent, United Kingdom",2012-12-24,1521332,1994
Archer-Daniels-Midland Co,ADM,reports,Consumer Staples,Agricultural Products,"Decatur, Illinois",1981-07-29,7084,1902
Arconic Inc.,ARNC,reports,Industrials,Aerospace & Defense,"New York, New York",1964-03-31,4281,2016
Arista Networks,ANET,reports,Information Technology,Communications Equipment,"Santa Clara, California",2018-08-28,1596532,2004
Arthur J. Gallagher & Co.,AJG,reports,Financials,Insurance Brokers,"Itasca, Illinois",2016-05-31,354190,""
Assurant,AIZ,reports,Financials,Multi-line Insurance,"New York, New York",2007-04-10,1267238,""
Atmos Energy Corp,ATO,reports,Utilities,Gas Utilities,"Dallas, Texas",2019-02-15,731802,1906
AT&T Inc.,T,reports,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30,732717,1983
Autodesk Inc.,ADSK,reports,Information Technology,Application Software,"San Rafael, California",1989-12-01,769397,""
Automatic Data Processing,ADP,reports,Information Technology,Internet Software & Services,"Roseland, New Jersey",1981-03-31,8670,""
AutoZone Inc,AZO,reports,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",1997-01-02,866787,""
"AvalonBay Communities, Inc.",AVB,reports,Real Estate,Residential REITs,"Arlington, Virginia[3]",2007-01-10,915912,""
Avery Dennison Corp,AVY,reports,Materials,Paper Packaging,"Glendale, California",1987-12-31,8818,""
"Baker Hughes, a GE Company",BHGE,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas","",1701605,2017
Ball Corp,BLL,reports,Materials,Metal & Glass Containers,"Broomfield, Colorado",1984-10-31,9389,""
